EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010568739,KOREAN AMERICAN FOUNDATION-GREATER WASHINGTON,% MYUNG HEE LEE,21326 DENIT ESTATES DR,BROOKEVILLE,MD,20833-1838,0000,03,3,1000,200306,1,15,000000000,1,01,202309,0,0,02,0,09,0,0,0,B05,
010572203,PRESBYTERIAN CHURCH IN AMERICA,% REV DON DOVE,440 DARLINGTON RD,HVRE DE GRACE,MD,21078-1014,8534,03,9,7000,197404,0,10,001000000,1,01,,0,0,06,0,12,,,,,CHESAPEAKE PRESBYTERY
010575722,CHRIST DEAF LUTHERAN CHURCH,% RONALD FRIEDRICH,9545 GEORGIA AVE,SILVER SPRING,MD,20910-1438,1709,03,9,7000,194107,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010576963,LA PLATA CHURCH OF CHRIST,% WILLIAM L NEEL,PO BOX 928,LA PLATA,MD,20646-0928,0000,03,3,7000,200206,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010577111,CHIN BAPTIST MISSION CHURCH,% C DUH KAM,5604 JOHNNYCAKE RD,GWYNN OAK,MD,21207-4743,3125,03,9,7000,195504,1,10,001000000,5,01,202212,6,5,06,0,12,1704029,945233,945233,,
010578410,CATOCTIN LAND TRUST INC,% SAMUEL T CASTLEMAN III,365 WEST PATRICK STREET,FREDERICK,MD,21701-0000,0000,03,3,2100,200211,1,15,000000000,1,01,202306,4,4,01,0,06,230269,175142,175142,C34,
010580596,TALBOT COMMUNITY CONNECTIONS INC,% KETTERMAN KAREN,PO BOX 2615,EASTON,MD,21601-0000,0000,03,3,1000,200205,1,15,000000000,1,01,202306,3,3,02,0,06,30614,46079,44444,P112,
010582722,FIRST VIETNAMESE BAPTIST CHURCH,% THUONG L NGUYEN,6333 AUBURN AVE,RIVERDALE,MD,20737-1612,0000,03,3,7000,200305,1,10,000000000,1,01,202212,5,3,06,0,12,738162,64410,64410,X21,
010583568,NURMI FAMILY FOUNDATION,% THOMAS NURMI,8127 RIVER RD,BETHESDA,MD,20817-3410,0000,03,3,1000,200203,1,04,000000000,1,01,202312,6,5,00,1,12,1292879,579361,,T22,NURMI THOMAS D PRES
010587803,FIRST BAPTIST CHURCH OF CAPITOL HEIGHTS,% REV HAROLD DUGGER,6 CAPITOL HEIGHTS BLVD,CAPITOL HGTS,MD,20743-6214,1601,03,9,7000,196310,1,10,029002000,5,01,,0,0,06,0,12,,,,,KENNETH HARRIS
010588746,CELESTIAL MANNA INC,% CHARLIE MANN,PO BOX 5857,DERWOOD,MD,20855-0857,0000,03,3,1000,200309,1,15,000000000,1,01,202312,3,6,01,0,12,84678,1438652,1438652,K31,
010591773,CONGREGATION YALKUT HA URIM INC,% RABBI ISRAEL JAKOBOVITZ,6214 BENHURST RD,BALTIMORE,MD,21209-3807,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X30,
010591843,CHESAPEAKE BAY BREAKERS BASKETBALL ASSOCIATION,% JEFFREY S OLSEN,2127 ESPEY CT STE 110,CROFTON,MD,21114-2489,0000,03,3,1000,200304,1,15,000000000,5,01,202312,0,0,02,0,12,0,0,0,N62,
010592129,FLINSTONE CIVIC IMPROVEMENT ASSOCIATION,% ERIC FLINN,PO BOX 25,FLINTSTONE,MD,21530-0025,0000,03,3,1000,200307,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,O50,
010596305,RESCUEGROUPS ORG INC,% RICHARD SAFFELL,PO BOX 1245,BOWIE,MD,20718-1245,0000,03,3,1000,200207,1,15,000000000,1,01,202212,4,4,01,0,12,214718,226016,226016,D99,
010599914,TOGETHER WITH PRIDE FOUNDATION INC,% RICHARD A BARSKY CPA,1426 ATWOOD RD,SILVER SPRING,MD,20906-2081,0000,03,3,1200,200212,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,G20,
010602741,ASSOCIATION OF CERTIFIED BACKGROUND INVESTIGATORS,% JORGE GARCIA,PO BOX 123,DICKERSON,MD,20842-0123,0000,06,3,1000,200304,2,00,000000000,1,01,202212,3,3,02,0,12,32267,37602,37602,S41,
010603642,MARYLAND 4-H CLUB FOUNDATION INC,% CARROLL UME 4-H OFFICE,700 AGRICULTURE CENTER,WESTMINSTER,MD,21157-0000,5938,03,9,2000,201307,1,15,000000000,5,01,202306,0,0,02,0,06,0,0,0,O52,CARROLL CO FINE FEATHERED FRIENDS 4
010608536,FAIRHAVEN RESIDENTS ASSOCIATION INC,% TREASURER,7200 THIRD AVENUE M-219,SYKESVILLE,MD,21784-5250,0000,03,3,1000,200208,1,16,000000000,1,01,202212,4,4,01,0,12,418856,168567,168567,P99,
010609601,STRONG TOWER DELIVERANCE CENTER,% JOSEPH TOWE,100 E PATAPSCO AVE 2ND FL,BALTIMORE,MD,21225-1733,0000,03,3,7000,200807,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010610272,BRIDE OF CHRIST CHURCH MINISTRIES,% BENJAMIN W RUCKER,3500 ENTERPRISE RD,BOWIE,MD,20721-2560,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X22,
010613166,BRING IT TO LIFE MINISTRIES,% ARTHUR J ROBINSON,4000 SINCLAIR LANE,BALTIMORE,MD,21213-0000,0000,03,3,7100,200602,1,10,000000000,1,01,202212,4,4,06,0,12,405257,200825,200825,X20,
010615097,KEYS OF FAITH MINISTRIES,% DAVID AND SHARON SMITH,5415 TAEALAMEDA,BALTIMORE,MD,21239-0000,0000,03,3,7000,200910,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010615518,HARFORD BUSINESS ROUNDTABLE FOR EDUCATION INC,% BILL SECCURRO,STREET MD 21154,STREET,MD,21154-0000,0000,03,3,2000,200402,1,16,000000000,1,01,202306,0,0,02,0,06,0,0,0,B80,
010617510,DELMARVA CAT CONNECTION INC,% PATRICIA WARD,PO BOX 1323,OCEAN PINES,MD,21811-5323,0000,03,3,1000,200205,1,15,000000000,1,01,202307,0,0,02,0,07,0,0,0,D20,FREY TERRY PRESIDENT
010623012,MARYLAND YOUTH LACROSSE ASSOCIATION INC,% RUTHIE GUTRIDGE LAVELLE,PO BOX 5313,TIMONIUM,MD,21094-5313,0000,03,3,1000,200312,1,16,000000000,1,01,202312,3,4,01,0,12,45293,121668,121668,N60,
010626658,AGAPE CHRISTIAN CHURCH INC,% MICHAEL NWAMOH,100 E TIMONIUM RD,TIMONIUM,MD,21093-3447,0000,03,3,7000,200210,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010628399,TONI MARTIAL ARTS INC,,14804 CLAUDE LN,SILVER SPRING,MD,20905-5536,0000,03,3,2000,200210,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B99,
010628541,WORD OF LIFE OUTREACH MINISTRIES,% ALFRED J SMITH,PO BOX 112,FAIRPLAY,MD,21733-0112,0000,03,3,1000,200209,1,10,000000000,1,01,,0,0,06,0,01,,,,,
010628604,THREE STEP MINISTRY OUTREACH,% DIANE M JOHNSON,4916 FABLE ST,CAPITOL HGTS,MD,20743-3931,0000,03,3,7000,200804,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,
010629224,VANESSA ALI MINISTRIES,% ALI VANESSA,PO BOX 1004,BURTONSVILLE,MD,20866-7004,0000,03,3,7000,202209,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,X20,
010632648,FEATHER FOUNDATION INC,% STEWART PLANT & BLUMENTHAL LLC,PO BOX 816,BROOKLANDVL,MD,21022-0816,0000,03,3,1000,200204,1,04,000000000,1,01,202312,6,4,00,1,12,2397579,317789,,T22,
010633258,FRIENDS OF HARFORD COUNTY LIBRARY INC,,3722 NORRISVILLE RD,JARRETTSVILLE,MD,21084-1419,3320,03,9,1000,199201,0,16,603000000,1,01,202306,0,0,02,0,06,0,0,0,,JARRETTSVILLE BRANCH
010633518,TRUE WORSHIPPERS CHRISTIAN FELLOWSHIP MINISTRIES,% DAVID J ROBINSON JR,PO BOX 27297,BALTIMORE,MD,21216-0797,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010637743,MOST VALUABLE KIDS INC,,11126 STEPHALEE LN,ROCKVILLE,MD,20852-3656,5334,03,6,1000,200205,1,15,000000000,1,01,202212,4,0,02,0,12,129119,0,0,P80,
010639265,MERITUS HEALTHCARE FOUNDATION INC,,11116 MEDICAL CAMPUS RD,HAGERSTOWN,MD,21742-6710,0000,03,3,1000,200207,1,17,000000000,1,01,202306,8,8,01,0,06,11654779,14567913,10015612,E80,
010640202,SET FREE PRISON MINISTRY,% REV BRIAN J DOUGLASS,PO BOX 777,NEW WINDSOR,MD,21776-0777,3317,03,9,7000,199112,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010640868,MIRACLE TEMPLE PENTECOSTAL CHURCH,% EDITH M JOHNSON,8787 BRANCH AVE APT 352,CLINTON,MD,20735-2630,0000,03,3,7000,201603,1,10,000000000,5,01,202403,0,0,06,0,03,0,0,0,X21,
010642220,4S FOUNDATION INC,% SHEELA NAYAK,155 POTOMAC PSGE UNIT 626,OXON HILL,MD,20745-1574,0000,03,3,2000,200208,1,15,000000000,1,01,202312,4,3,02,0,12,138064,27686,27686,P99,
010646813,LEGISLATIVE BLACK CAUCUS OF MARYLAND,% CHAIRMAN OF BOARD EXECUTIVE,6 BLADEN STREET 300,ANNAPOLIS,MD,21401-1912,0000,04,3,1000,200304,2,00,000000000,1,01,202112,4,3,01,0,12,164683,78500,78500,P20,
010656724,VOLUNTEERS OF AMERICA INC,,7901 ANNAPOLIS RD,LANHAM,MD,20706-1309,1736,03,9,7100,196505,1,10,325902160,5,01,202306,0,0,02,0,06,0,0,0,,VOA VALLEY HOMES INC
010657461,MARYLAND COMMUNITY HEALTH INITIATIVES,,2410 PENNSYLVANIA AVE,BALTIMORE,MD,21217-1722,0000,03,3,1000,200210,1,16,000000000,1,01,202207,6,7,01,0,07,1009155,5224158,5224158,E60,
010660673,CARTER FAMILY FOUNDATION,% RODGER B CARTER,1909 MARTINS COVE CT,ANNAPOLIS,MD,21409-5947,0000,03,3,1000,200305,1,04,000000000,1,01,202312,3,1,00,1,12,92817,2158,,T20,
010662244,FOX HAVEN CENTER,% HARRIETT CROSBY,3630 POFFENBERGER RD,JEFFERSON,MD,21755-8719,0000,03,3,1000,200407,1,15,000000000,1,01,202212,4,4,01,0,12,200875,348109,348109,C30,
010668807,GOODWILL RETIREMENT COMMUNITY AUXILIARY INC,% GOODWILL MENNONITE HOME INC,891 DORSEY HOTEL RD,GRANTSVILLE,MD,21536-1369,0000,03,3,1000,200209,1,17,000000000,1,01,202403,0,0,02,0,03,0,0,0,P118,
010672153,INTERNATIONAL ASSOCIATION OF FORENSIC NURSES,% CHRISTINA PRESENTI,6779 BUSINESS PKWY STE 303,ELKRIDGE,MD,21075-0000,5479,06,9,3000,200807,2,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,E039,INTERNATIONAL ASSOCIATION OF FORENS
010672701,GREATER HIGHLAND CROSSROADS ASSOCIATION,% DAN OLEARY,12832 HIGHLAND RD,HIGHLAND,MD,20777-9713,0000,04,3,3000,201204,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,S22,
010675957,BAY HUNDRED FOUNDATION INC,% ELIZABETH JONES,PO BOX 992,ST MICHAELS,MD,21663-0992,0000,03,3,2000,200512,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,C27,
010679238,SYNERGY SPORTZ PARENT ASSOCIATION INC,% PATRICIA C PATTON,4750 WINCHESTER BLVD UNIT 2,FREDERICK,MD,21703-7469,0000,03,3,1000,200402,1,16,000000000,1,01,202307,1,3,02,0,07,3718,39387,37612,N60,
010696779,BALTIMORE METROPOLITAN AREA CHAPTER OF THE AMERICAN PAYROLL ASSOC,% MARSHA OREMLAND,205 TEAPOT CT,REISTERSTOWN,MD,21136-1947,0000,06,3,1000,202211,2,00,000000000,5,01,202212,0,0,02,0,12,0,0,0,S41,DBA CHARM CITY PAYROLL ASSOCIATION
010699405,PYLE EDUCATION FOUNDATION CORPORATION,% SHANNON BUSKIRK,PO BOX 387,CABIN JOHN,MD,20818-0387,0000,03,3,1000,200302,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,B112,
010701007,BEL AIR WOMANS CLUB INC,% SHIRLEY WILLIAMS,635 WALLINGFORD RD UNIT 401,BEL AIR,MD,21014-4534,0000,03,3,1000,201904,1,16,000000000,1,01,202306,0,0,02,0,06,0,0,0,W12,
010702612,INSTITUTE FOR DYNAMIC EDUCATION ADVANCEMENT INC,% MICHAEL DOUMA,7804 GARLAND AVE,TAKOMA PARK,MD,20912-7712,0000,03,3,1000,200209,1,15,000000000,1,01,202212,1,1,02,0,12,1,2526,2526,B99,
010703621,KING BARN DAIRY MOOSEUM INC,% BARBARA D MCGRAW,PO BOX 76,BOYDS,MD,20841-0076,0000,03,3,2000,200306,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,A54,
010705447,LESA-USA INC,% JANE OKEBUGWU,11209 SNOWDEN POND RD,LAUREL,MD,20708-3066,0000,03,3,1000,200602,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,Q33,
010706407,GREATER DELIVERANCE MINISTRIES INTERNATIONAL INC,% JENNIFER WYNN,7910 SCOTT RD,LANDOVER,MD,20785-2744,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010713216,BSG FAMILY FOUNDATION,,100 MONTICELLO AVE,ANNAPOLIS,MD,21401-3414,0000,03,3,1000,200207,1,04,000000000,2,01,202312,5,4,00,1,12,814727,361578,,T20,GLASSMAN BERNARD & SYLVIA TTEES
010716432,HEALING WATERS INC,% KAREN GASKINS,11501 BELVIDERE RD,MITCHELLVILLE,MD,20721-2164,0000,03,3,1000,200903,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,F30,
010722448,NEW GOOD SAMARITAN BAPTIST CHURCH,% REV DONALD RAY PALMORE,5936 FALKIRK RD,BALTIMORE,MD,21239-2211,0000,03,3,7000,200210,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010725238,LEAD MARYLAND FOUNDATION INC,% SUSAN HARRISON,124 WYE NARROWS DRIVE,QUEENSTOWN,MD,21658-0000,0000,03,3,1200,200308,1,15,000000000,1,01,202306,5,4,01,0,06,661847,257228,249547,B30,
010729385,CHESAPEAKE RIVERS ASSOCIATION INC,% FREDERICK KELLY,1713 S HARBOR LN,ANNAPOLIS,MD,21401-6534,0000,03,3,1200,200210,1,15,000000000,1,01,202312,3,4,01,0,12,65159,329372,329372,C32,SEVERN RIVERKEEPER PROGRAM
010729558,RESTORATION AND GREATER WORKS DELIVERANCE MINISTRIES INC,% MARY E WILLIAMS,711 HARRY S TRUMAN DR APT 414,LARGO,MD,20774-2098,0000,03,3,7000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010733436,ROYAL PRIESTHOOD MINISTRIES INTERNATIONAL INC,% STEPHEN G OLUKOYA,23 W DIAMOND AVENUE STE 205,GAITHERSBURG,MD,20877-2187,0000,03,3,7000,200308,1,10,000000000,1,01,202212,3,4,06,0,12,35543,168262,168262,X21,ROYAL PLACE
010736143,MLS LEARNING INC,% IRIS FISHER,5724 VIRGINIA LN,OXON HILL,MD,20745-3574,0000,03,3,1000,201408,1,15,000000000,1,01,202312,1,1,02,0,12,7890,6500,6500,P30,
010736474,ERNEST EVERETT JUST FOUNDATION INC,% RAMSEY DAMINABO,PO BOX 715,CHELTENHAM,MD,20623-0715,0000,03,3,1000,202204,1,15,000000000,1,01,202312,1,0,02,0,12,2386,0,0,P20,
010738255,ALIVE AGAIN BAPTIST MINISTRIES,% WALTER W BROWN JR,2122 E FAIRMOUNT AVE,BALTIMORE,MD,21231-1641,0000,03,3,7000,200407,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010739119,DUNAMIS REVIVAL MINISTRIES INC,% OLAKANMI EVERGREEN,16034 ELEGANT CT,BOWIE,MD,20716-3371,0000,03,3,1000,200301,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,X20,
010741003,ANNAPOLIS NAVY JNR RESERVE OFFICER TRAIING CORPS BOOSTER CLUB,% ANNAPOLIS HIGH SCHOOL NJROTC,2700 RIVA RD,ANNAPOLIS,MD,21401-7205,0000,03,3,1000,201102,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,B90,
010741661,LIONS CLUB OF OLNEY FOUNDATION INC,% MICHAEL FEKETE,2705 GOLD MINE RD,BROOKEVILLE,MD,20833-2236,0000,03,3,1000,200301,1,16,000000000,1,01,202306,0,0,02,0,06,0,0,0,P99,
010744146,RESEARCH FOR A CURE,% FRANKLIN C SALISBURY,5515 SECURITY LN STE 1105,ROCKVILLE,MD,20852-5018,0000,03,3,1000,200210,1,17,000000000,1,01,202312,1,0,02,0,12,1,0,0,H113,
010747500,WILBERT FOUNDATION,,PO BOX 226,HAGERSTOWN,MD,21741-0226,0000,03,3,1000,200501,1,04,000000000,1,01,202212,5,4,00,1,12,844107,233168,,T21,
010748115,CHRISTIAN LIFE CENTER INC,% BEN SLYE,5600 TAYLOR ROAD,RIVERDALE,MD,20737-2000,0000,03,3,7000,200408,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010751429,DAVIS FAMILY FOUNDATION,% JAMES C DAVIS,PO BOX 468,HANOVER,MD,21076-0000,0000,03,3,1000,200212,1,04,000000000,1,01,202212,9,9,00,1,12,1092897166,123019832,,T22,
010752247,WHITE MARSH ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,% JUDITH CULVER,4322 LOVERS LN,TRAPPE,MD,21673-1866,0000,03,3,1000,201605,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B11,
010757374,AT-ONE-MENT WITH GOD CHURCH,% CAROLYN WILSON,8192 WATERFORD RD,PASADENA,MD,21122-1241,0000,03,3,7000,200401,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
010759729,REHOBOTH MISSION BAPTIST CHURCH,% ANTHONY BROADHURST,11211 ODELL FARMS CT,BELTSVILLE,MD,20705-4108,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010762192,HARRY AND JEANETTE WEINBERG VILLAGE 1 INC,% BRIAN BERUBE COMM LIFE MGMT,5809 PARK HEIGHTS AVE,BALTIMORE,MD,21215-3931,0000,03,3,1000,200306,1,16,000000000,1,01,202306,6,5,01,0,06,4771494,875307,875307,L22,
010777668,JESS CARSON FOUNDATION INC,% DOUGLAS CARSON,1548 SHIPSVIEW RD,ANNAPOLIS,MD,21409-5740,0000,03,3,1000,200402,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,P20,
010777717,CHEER SPOT,% MS MCCALL,12610 PRINCELEIGH ST,UPPR MARLBORO,MD,20774-1705,0000,03,3,1000,200307,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,O50,
010778750,INDIAASHA ORG INC,% SANJEEV DAHIWADKAR,2143 OAK FOREST DR,ELLICOTT CITY,MD,21043-1903,0000,03,3,1000,201401,1,15,000000000,1,01,202402,0,0,02,0,02,0,0,0,P20,
010782508,IMMUNIZATIONS FOR THE PUBLIC HEALTH,% MARTIN G MYERS,1915 TOWNE CENTRE BLVD UNIT 710,ANNAPOLIS,MD,21401-3586,0000,03,3,1200,200401,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,E70,I4PH
010787777,PAN-LACONIAN FOUNDATION INC,% NICK PAPPAS,2613 BELLE CREST LN,SILVER SPRING,MD,20906-3173,0000,03,3,2000,200312,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A20,
010796599,KENT ISLAND YOUTH SOCCER LEAGUE INC,% SHANNON TURNER,PO BOX 952,STEVENSVILLE,MD,21666-0952,0000,03,3,1200,202110,1,16,000000000,1,01,202401,3,3,01,0,01,61605,97669,97669,N64,
010799795,TALBOT SWIM CLUB,% JOANNE NEWMIER,PO BOX 3001,EASTON,MD,21601-8957,0000,03,3,1200,200501,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,N68,
010803211,FRIENDS OF FOLLY QUARTER MUSICIANS,% ANDREW SPANG,13500 TRIADELPHIA ROAD,ELLICOTT CITY,MD,21042-0000,0000,03,3,1000,200506,1,15,000000000,5,01,202306,0,0,02,0,06,0,0,0,B90,
010805122,MID ATLANTIC COMMUNITY CHURCH,,2485 DAVIDSONVILLE RD,GAMBRILLS,MD,21054-2111,0000,03,3,7000,202006,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010808098,IWT-TRNN INC,% JAY PAUL,231 HOLLIDAY ST,BALTIMORE,MD,21202-3612,0000,03,3,1000,200503,1,15,000000000,1,01,202212,6,6,01,0,12,1532706,2526986,2526986,A32,
010810191,CLUSTERED SPIRES CEMETERY INC,% RICHARD F CODY,9501 US RT 15 N,FREDERICK,MD,21701-0000,0000,13,3,1000,200411,1,00,000000000,1,01,202212,4,4,01,0,12,205455,235460,15760,Y50,
010811847,CENTER FOR ISLAM AND PUBLIC POLICY INC,% ZAHID H BUKHARI,2110 WALNUT RIDGE CT,FREDERICK,MD,21702-5921,0000,03,3,2000,200703,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,B05,
010811944,GEORGE SNDYER MEMORIAL FUND TRUST,% RONALD SHAPARD,901 MONTGOMERY ST,LAUREL,MD,20707-3411,0000,03,3,1000,200608,1,16,000000000,1,01,202404,2,3,01,0,04,11385,66460,49817,H12,
010814106,WORD OF LIFE CHAPEL INTERNATIONAL,% EDWARD ONYINAH POKU,503 WALNUT GROVE RD,BALTIMORE,MD,21221-6097,0000,03,3,7000,200708,1,10,000000000,1,01,202312,4,4,06,0,12,198785,133347,133347,X20,
010816557,OUT OF BONDAGE MINISTRIES INC,% BARBARA MCFARLAND,7603 PERRING TER,BALTIMORE,MD,21234-6120,0000,03,3,7000,201408,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010817022,FERNGAL MUSIC PRODUCTIONS PUBLISHING INC,% LORETTA BLAKE,1012 N WOODINGTON RD,BALTIMORE,MD,21229-1838,0000,03,3,1200,200702,1,15,000000000,1,01,202306,0,0,02,0,06,0,0,0,X80,
010819118,WHOLE WOMAN INCORPORATED,% CRYSTAL CHAVIS,PO BOX 43473,NOTTINGHAM,MD,21236-0473,0000,03,3,1000,200503,1,16,000000000,1,01,202306,0,0,02,0,06,0,0,0,P50,
010819395,BLUEBIRD EDUCATION NETWORK INC,% STEPHANIE V SIMMS,27 N LAKEWOOD AVE,BALTIMORE,MD,21224-1155,0000,03,3,1200,200502,1,11,000000000,1,01,202306,8,8,01,0,06,17746621,19332956,18993046,B29,
010823200,CHOICES FOR SUCCESS,% JACQUELINE SIBERT,9103 WOODMORE CENTER DR,LANHAM,MD,20706-1653,0000,03,3,1234,201609,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,O50,CFS
010823901,RUTH PROJECT FELLOWSHIP MINISTRIES,% BARBARA LEWIS,1611 CATHERINE FRAN DR,ACCOKEEK,MD,20607-3259,0000,03,3,1000,200704,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,X99,
010824098,PHI ALPHA DELTA LAW FRATERNITY INTL,% EXECUTIVE DIRECTOR,606 BALTIMORE AVE STE 303,TOWSON,MD,21204-4085,0818,07,9,1000,194504,2,00,036000000,5,01,202212,0,0,02,0,12,0,0,0,,GEORGIA SOUTHERN UNIVERSITY PRELAW
010824105,PHI ALPHA DELTA LAW FRAENITY INTL,% EXECUTIVE DIRECTOR,606 BALTIMORE AVE STE 303,TOWSON,MD,21204-4085,0818,07,9,1000,194504,2,00,036000000,5,01,202212,0,0,02,0,12,0,0,0,,TEXAS A&M INTL
010824859,HOPE FELLOWSHIP CHURCH,% BARBARA L ADAMS,16 GREENDALE PL,GREENBELT,MD,20770-1603,1601,03,9,7000,196310,1,10,029002000,5,01,,0,0,06,0,12,,,,,
